epsilon,N,S_obs,rate,p_value,p_ci_low,p_ci_high
0.7,83,80,0.963855421686747,0.0033222591362126247,8.41087815427686e-05,0.01218062173549235
0.75,83,80,0.963855421686747,0.0033222591362126247,8.41087815427686e-05,0.01218062173549235
0.8,83,80,0.963855421686747,0.0033222591362126247,8.41087815427686e-05,0.01218062173549235
0.85,83,79,0.9518072289156626,0.0033222591362126247,8.41087815427686e-05,0.01218062173549235
0.9,83,73,0.8795180722891566,0.0033222591362126247,8.41087815427686e-05,0.01218062173549235
